id,unique_payment_code,referral_code,status,nama_team,asal_sekolah,nama_guru_pendamping,no_telp_guru_pendamping,region,id_kota,biaya,username,password,email
18,0,OTS27,active,OTS27,SMA OTS,,,2,3578,150000,teamots27otsnlc,33PRW3C0K0,teamots27otsnlc@sch.id
19,0,OTS28,active,OTS28,SMA OTS,,,2,3578,150000,teamots28otsnlc,2T3H9ZV0T4,teamots28otsnlc@sch.id
20,0,OTS29,active,OTS29,SMA OTS,,,2,3578,150000,teamots29otsnlc,5DLZ1MF6X9,teamots29otsnlc@sch.id
21,0,OTS30,active,OTS30,SMA OTS,,,3,3578,150000,teamots30otsnlc,AWJVMM8XER,teamots30otsnlc@sch.id
22,0,OTS31,active,OTS31,SMA OTS,,,3,3578,150000,teamots31otsnlc,DEG9ILXVGS,teamots31otsnlc@sch.id
23,0,OTS32,active,OTS32,SMA OTS,,,3,3578,150000,teamots32otsnlc,DPMA4W7TFN,teamots32otsnlc@sch.id
24,0,OTS33,active,OTS33,SMA OTS,,,3,3578,150000,teamots33otsnlc,BAQ2PO3O2B,teamots33otsnlc@sch.id
25,0,OTS34,active,OTS34,SMA OTS,,,3,3578,150000,teamots34otsnlc,99ZJMIBFGW,teamots34otsnlc@sch.id
26,0,OTS35,active,OTS35,SMA OTS,,,3,3578,150000,teamots35otsnlc,25BOD5HXQJ,teamots35otsnlc@sch.id
27,0,OTS36,active,OTS36,SMA OTS,,,3,3578,150000,teamots36otsnlc,5NS4BL6BMJ,teamots36otsnlc@sch.id
28,0,OTS37,active,OTS37,SMA OTS,,,3,3578,150000,teamots37otsnlc,6IEKRUJFO5,teamots37otsnlc@sch.id
29,0,OTS38,active,OTS38,SMA OTS,,,3,3578,150000,teamots38otsnlc,2S6HT256VJ,teamots38otsnlc@sch.id
30,0,OTS39,active,OTS39,SMA OTS,,,3,3578,150000,teamots39otsnlc,Y15DKRCJBQ,teamots39otsnlc@sch.id
31,0,OTS40,active,OTS40,SMA OTS,,,4,3578,150000,teamots40otsnlc,BON42VNF43,teamots40otsnlc@sch.id
32,0,OTS41,active,OTS41,SMA OTS,,,4,3578,150000,teamots41otsnlc,OP1UWZVJUD,teamots41otsnlc@sch.id
33,0,OTS42,active,OTS42,SMA OTS,,,4,3578,150000,teamots42otsnlc,LN0RJOTX1W,teamots42otsnlc@sch.id
34,0,OTS43,active,OTS43,SMA OTS,,,4,3578,150000,teamots43otsnlc,SJ1FZ6N6UU,teamots43otsnlc@sch.id
35,0,OTS44,active,OTS44,SMA OTS,,,4,3578,150000,teamots44otsnlc,OAKQ0RMPTK,teamots44otsnlc@sch.id
36,0,OTS45,active,OTS45,SMA OTS,,,4,3578,150000,teamots45otsnlc,WFUMFIHXNV,teamots45otsnlc@sch.id
37,0,OTS46,active,OTS46,SMA OTS,,,4,3578,150000,teamots46otsnlc,ECMXRIC3BI,teamots46otsnlc@sch.id
38,0,OTS47,active,OTS47,SMA OTS,,,4,3578,150000,teamots47otsnlc,NKYHD1PSLY,teamots47otsnlc@sch.id
39,0,OTS48,active,OTS48,SMA OTS,,,4,3578,150000,teamots48otsnlc,4WVRRGCSA4,teamots48otsnlc@sch.id
40,0,OTS49,active,OTS49,SMA OTS,,,4,3578,150000,teamots49otsnlc,F1BYNKHSL7,teamots49otsnlc@sch.id
41,0,OTS50,active,OTS50,SMA OTS,,,5,3578,150000,teamots50otsnlc,DYRGM819W1,teamots50otsnlc@sch.id
42,0,OTS51,active,OTS51,SMA OTS,,,5,3578,150000,teamots51otsnlc,0Z1MAJT2RT,teamots51otsnlc@sch.id
43,0,OTS52,active,OTS52,SMA OTS,,,5,3578,150000,teamots52otsnlc,HTN0FVZKAI,teamots52otsnlc@sch.id
44,0,OTS53,active,OTS53,SMA OTS,,,5,3578,150000,teamots53otsnlc,HLLGPF31CF,teamots53otsnlc@sch.id
45,0,OTS54,active,OTS54,SMA OTS,,,5,3578,150000,teamots54otsnlc,P7V1AIJBQ9,teamots54otsnlc@sch.id
46,0,OTS55,active,OTS55,SMA OTS,,,5,3578,150000,teamots55otsnlc,JONT991DSH,teamots55otsnlc@sch.id
47,0,OTS56,active,OTS56,SMA OTS,,,5,3578,150000,teamots56otsnlc,JMN724CCNH,teamots56otsnlc@sch.id
48,0,OTS57,active,OTS57,SMA OTS,,,5,3578,150000,teamots57otsnlc,71BUU3OQIA,teamots57otsnlc@sch.id
49,0,OTS58,active,OTS58,SMA OTS,,,5,3578,150000,teamots58otsnlc,AMXERNISVD,teamots58otsnlc@sch.id
50,0,OTS59,active,OTS59,SMA OTS,,,5,3578,150000,teamots59otsnlc,NOJN2PJUYK,teamots59otsnlc@sch.id
51,0,OTS60,active,OTS60,SMA OTS,,,6,3578,150000,teamots60otsnlc,NE84E4XA72,teamots60otsnlc@sch.id
52,0,OTS61,active,OTS61,SMA OTS,,,6,3578,150000,teamots61otsnlc,9WY0D5CT2M,teamots61otsnlc@sch.id
53,0,OTS62,active,OTS62,SMA OTS,,,6,3578,150000,teamots62otsnlc,XXDHZ0GUXW,teamots62otsnlc@sch.id
54,0,OTS63,active,OTS63,SMA OTS,,,6,3578,150000,teamots63otsnlc,9N3LIV0L1V,teamots63otsnlc@sch.id
55,0,OTS64,active,OTS64,SMA OTS,,,6,3578,150000,teamots64otsnlc,VRD68K0CAN,teamots64otsnlc@sch.id
56,0,OTS65,active,OTS65,SMA OTS,,,6,3578,150000,teamots65otsnlc,O7TOK7XYLX,teamots65otsnlc@sch.id
57,0,OTS66,active,OTS66,SMA OTS,,,6,3578,150000,teamots66otsnlc,Y0LE46NRKV,teamots66otsnlc@sch.id
58,0,OTS67,active,OTS67,SMA OTS,,,6,3578,150000,teamots67otsnlc,FXXBL8GQGW,teamots67otsnlc@sch.id
59,0,OTS68,active,OTS68,SMA OTS,,,6,3578,150000,teamots68otsnlc,D5MEE55PCG,teamots68otsnlc@sch.id
60,0,OTS69,active,OTS69,SMA OTS,,,6,3578,150000,teamots69otsnlc,G4UGVHXXGH,teamots69otsnlc@sch.id
61,0,OTS70,active,OTS70,SMA OTS,,,7,3578,150000,teamots70otsnlc,LFOOI52810,teamots70otsnlc@sch.id
62,0,OTS71,active,OTS71,SMA OTS,,,7,3578,150000,teamots71otsnlc,KPVLRX8BCI,teamots71otsnlc@sch.id
63,0,OTS72,active,OTS72,SMA OTS,,,7,3578,150000,teamots72otsnlc,61AI3S7WMB,teamots72otsnlc@sch.id
64,0,OTS73,active,OTS73,SMA OTS,,,7,3578,150000,teamots73otsnlc,IZX6O28NF5,teamots73otsnlc@sch.id
65,0,OTS74,active,OTS74,SMA OTS,,,7,3578,150000,teamots74otsnlc,NDFF0JHVMI,teamots74otsnlc@sch.id
66,0,OTS75,active,OTS75,SMA OTS,,,7,3578,150000,teamots75otsnlc,4KYITX8UER,teamots75otsnlc@sch.id
67,0,OTS76,active,OTS76,SMA OTS,,,7,3578,150000,teamots76otsnlc,7V5KBJOTVH,teamots76otsnlc@sch.id
68,0,OTS77,active,OTS77,SMA OTS,,,7,3578,150000,teamots77otsnlc,ZYASLG0024,teamots77otsnlc@sch.id
69,0,OTS78,active,OTS78,SMA OTS,,,7,3578,150000,teamots78otsnlc,ZOAD88FGB9,teamots78otsnlc@sch.id
70,0,OTS79,active,OTS79,SMA OTS,,,7,3578,150000,teamots79otsnlc,EBXFZQD7CQ,teamots79otsnlc@sch.id
71,0,OTS80,active,OTS80,SMA OTS,,,8,3578,150000,teamots80otsnlc,03J6LXC2ND,teamots80otsnlc@sch.id
72,0,OTS81,active,OTS81,SMA OTS,,,8,3578,150000,teamots81otsnlc,ELU9ACPB09,teamots81otsnlc@sch.id
73,0,OTS82,active,OTS82,SMA OTS,,,8,3578,150000,teamots82otsnlc,F38SI3R92K,teamots82otsnlc@sch.id
74,0,OTS83,active,OTS83,SMA OTS,,,8,3578,150000,teamots83otsnlc,URNICMNRHW,teamots83otsnlc@sch.id
75,0,OTS84,active,OTS84,SMA OTS,,,8,3578,150000,teamots84otsnlc,7M9C9CCKCU,teamots84otsnlc@sch.id
76,0,OTS85,active,OTS85,SMA OTS,,,8,3578,150000,teamots85otsnlc,IRQYCNU1KF,teamots85otsnlc@sch.id
77,0,OTS86,active,OTS86,SMA OTS,,,8,3578,150000,teamots86otsnlc,R3EWXR9U9F,teamots86otsnlc@sch.id
78,0,OTS87,active,OTS87,SMA OTS,,,8,3578,150000,teamots87otsnlc,GW2MFFPF67,teamots87otsnlc@sch.id
79,0,OTS88,active,OTS88,SMA OTS,,,8,3578,150000,teamots88otsnlc,YPHVLJ6U0W,teamots88otsnlc@sch.id
80,0,OTS89,active,OTS89,SMA OTS,,,8,3578,150000,teamots89otsnlc,AVZ7EGRSJ1,teamots89otsnlc@sch.id
81,0,OTS90,active,OTS90,SMA OTS,,,9,3578,150000,teamots90otsnlc,W2JTQ4UUSF,teamots90otsnlc@sch.id
82,0,OTS91,active,OTS91,SMA OTS,,,9,3578,150000,teamots91otsnlc,8GO3EPO34Y,teamots91otsnlc@sch.id
83,0,OTS92,active,OTS92,SMA OTS,,,9,3578,150000,teamots92otsnlc,QAF9ENU70B,teamots92otsnlc@sch.id
84,0,OTS93,active,OTS93,SMA OTS,,,9,3578,150000,teamots93otsnlc,NOCRCQ6JCD,teamots93otsnlc@sch.id
85,0,OTS94,active,OTS94,SMA OTS,,,9,3578,150000,teamots94otsnlc,S8VEAI9URS,teamots94otsnlc@sch.id
86,0,OTS95,active,OTS95,SMA OTS,,,9,3578,150000,teamots95otsnlc,ZZ961M92ST,teamots95otsnlc@sch.id
87,0,OTS96,active,OTS96,SMA OTS,,,9,3578,150000,teamots96otsnlc,9FFNADHB8I,teamots96otsnlc@sch.id
88,0,OTS97,active,OTS97,SMA OTS,,,9,3578,150000,teamots97otsnlc,TSEDLQKZQ0,teamots97otsnlc@sch.id
89,0,OTS98,active,OTS98,SMA OTS,,,9,3578,150000,teamots98otsnlc,B2GCSCVD5I,teamots98otsnlc@sch.id
90,0,OTS99,active,OTS99,SMA OTS,,,9,3578,150000,teamots99otsnlc,5V3P2RVIFG,teamots99otsnlc@sch.id
